cycle,timestamp,pH,conductivity,temperature,ORP,LSI,RSI,risk_level,primary_risk,preemptive,doses,blowdown,slug_doses,cost_inr,safety_overrides,emergency_stop
50,1704081600.0,7.37,1418.0,35.75437240638168,667.1991525763124,0.6174931453565806,6.135013709286839,LOW,scaling,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0783}",0.0,{},244.8,3,False
51,1704081900.0,7.81,1313.0,35.200258542891895,647.216545791249,0.9839722049633766,5.8420555900732465,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.0381, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0846}",0.0,{},264.6,3,False
52,1704082200.0,7.81,1456.0,35.481380516448986,632.823886132242,0.931463076377085,5.9470738472458295,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0776}",0.0,{},313.65,3,False
53,1704082500.0,8.21,1216.0,34.42747783674023,632.9257064792716,1.3126768293631237,5.5846463412737535,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.3012, 'AQUATREAT-1196': 0.9154, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0912}",0.0,{},370.09,2,False
54,1704082800.0,8.11,1362.0,35.17301104389592,623.7239662428753,1.2917918888165918,5.526416222366816,MODERATE,corrosion,True,"{'AQUATREAT-2501': 0.2118, 'AQUATREAT-1196': 1.19, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0835}",0.0,{},417.76,2,False
55,1704083100.0,7.96,1544.0,35.313372104904026,656.810085159067,1.1900065877710349,5.57998682445793,MODERATE,scaling,False,"{'AQUATREAT-2501': 0.1821, 'AQUATREAT-1196': 1.1313, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0736}",0.0,{},403.84,1,False
56,1704083400.0,7.64,1491.0,34.76114956890983,627.5476434548941,0.8495664858717289,5.940867028256542,MODERATE,biofouling,True,"{'AQUATREAT-2501': 0.1851, 'AQUATREAT-1196': 0.6757, 'AQUATREAT-2150': 0.1428, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.074}",0.0,{},312.47,1,False
57,1704083700.0,7.7,1471.0,34.89581585431549,632.6811050981806,0.9233309496268838,5.853338100746233,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1878, 'AQUATREAT-1196': 0.6798, 'AQUATREAT-2150': 0.0427, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.075}",0.0,{},289.05,1,False
58,1704084000.0,7.8,1511.0,35.550975418773554,617.0849542297487,1.0761879191756654,5.647624161648669,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1854, 'AQUATREAT-1196': 0.6673, 'AQUATREAT-2150': 0.0555, 'AQUATREAT-4612': 0.2089, 'AQUATREAT-6625': 0.0737}",0.0,{},275.65,1,False
59,1704084300.0,7.85,1470.0,36.8051528793523,643.592381842749,1.1428712313606715,5.564257537278657,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1922, 'AQUATREAT-1196': 0.6929, 'AQUATREAT-2150': 0.0722, 'AQUATREAT-4612': 0.209, 'AQUATREAT-6625': 0.0758}",0.0,{},287.12,1,False
